Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Cognitive Level,Subject
Process Management,What is process synchronization?,The process of coordinating the execution of multiple processes to ensure correct and consistent results,A situation where two or more processes are unable to proceed because they are waiting for each other to release resources,A situation where a process has completed its execution,A situation where a process has terminated abnormally,1,2,4,OS
Process Management,What is interprocess communication (IPC)?,A mechanism for processes to communicate and synchronize with each other,The process of creating a new process,The process of destroying a process,The process of switching between user mode and kernel mode,1,2,4,OS
Memory Management,Which of the following is not a primary function of an operating system's memory management system?,Allocation,Deallocation,Defragmentation,Protection,3,2,4,OS
Memory Management,Which memory allocation algorithm has a simple idea of dividing memory into equal-sized partitions at system startup?,First-fit algorithm,Best-fit algorithm,Worst-fit algorithm,Quick-fit algorithm,1,2,2,OS
Memory Management,Which memory allocation algorithm always searches the entire memory list beginning with the smallest block that is big enough to satisfy a request?,First-fit algorithm,Best-fit algorithm,Worst-fit algorithm,Quick-fit algorithm,2,3,3,OS
Memory Management,Which of the following is not a benefit of using virtual memory?,Increased program capacity,Protection of memory space,Reduced external fragmentation,Reduced internal fragmentation,4,2,2,OS
Memory Management,Which of the following is the process of bringing a page from secondary memory into main memory?,Page replacement,Page fault,Page hit,Page thrashing,2,1,1,OS
Memory Management,Which of the following is a technique used by an operating system to manage and minimize the amount of physical memory required by a process?,Paging,Swapping,Fragmentation,Virtualization,1,3,4,OS
Memory Management,Which memory allocation algorithm selects the block that is closest in size to the requested size but not smaller than the requested size?,First-fit algorithm,Best-fit algorithm,Worst-fit algorithm,Quick-fit algorithm,2,2,3,OS
Memory Management,Which of the following is a measure of how quickly data can be accessed from a particular location in memory?,Latency,Bandwidth,Throughput,Access time,4,2,2,OS
Memory Management,Which of the following is a memory management scheme that allows the physical address space of a process to be non-contiguous?,Contiguous allocation,Paging,Swapping,Segmentation,4,3,4,OS
Memory Management,Which of the following is not a commonly used page replacement algorithm?,FIFO,LRU,MRU,NRU,3,1,3,OS
File Systems and Management,Which of the following is the correct definition of a file system?,A way to organize and store data on a storage medium,An algorithm for compressing data,An application that manages file permissions,An interface for communicating with peripheral devices,1,2,2,OS
File Systems and Management,What is the function of a directory in a file system?,To organize files and folders,To compress data,To manage file permissions,To communicate with peripheral devices,1,2,2,OS
File Systems and Management,What is a file allocation table (FAT)?,A table that maps file names to their corresponding locations on a storage medium,A table that stores information about file compression,An algorithm for managing file permissions,An interface for communicating with peripheral devices,1,3,3,OS
File Systems and Management,What is fragmentation in a file system?,When a file is divided into many pieces and stored in non-contiguous locations on a storage medium,When a file is compressed and stored in a smaller space,When a file is encrypted for security reasons,When a file is stored in a directory with too many other files,1,3,4,OS
File Systems and Management,What is a symbolic link in a file system?,A type of file that contains only pointers to other files or directories,A file that contains the contents of another file,A file that is compressed for storage,A file that is encrypted for security reasons,1,3,4,OS
File Systems and Management,Which of the following is not a common file system used in modern operating systems?,NTFS,Ext4,FAT32,MS-DOS,4,2,3,OS
File Systems and Management,Which of the following file systems is used by default in macOS?,HFS+,NTFS,Ext4,FAT32,1,1,2,OS
File Systems and Management,Which file system was introduced with Windows Vista?,FAT32,ExFAT,NTFS,ReFS,4,3,4,OS
File Systems and Management,Which of the following is not a type of file allocation used in file systems?,Linked allocation,Indexed allocation,Contiguous allocation,Binary allocation,4,3,4,OS
File Systems and Management,What is the maximum file size supported by the FAT32 file system?,2 GB,4 GB,8 GB,16 GB,2,2,4,OS
Input/Output (I/O) Management,Which of the following is true about synchronous I/O?,The calling process blocks until the I/O operation completes,Synchronous I/O is non-blocking,Synchronous I/O is used only for network communication,All of the above,1,2,3,OS
Input/Output (I/O) Management,Which of the following is true about asynchronous I/O?,The calling process does not block until the I/O operation completes,Asynchronous I/O is blocking,Asynchronous I/O is used only for file I/O operations,All of the above,1,2,3,OS
Input/Output (I/O) Management,Which of the following I/O models provides the best performance?,Asynchronous I/O,Synchronous I/O,Polling,Interrupt-driven I/O,1,3,4,OS
Input/Output (I/O) Management,What is the purpose of a device driver?,To provide an interface between the operating system and a specific hardware device,To manage the allocation of memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,1,1,2,OS
Input/Output (I/O) Management,What is the purpose of an interrupt handler?,To handle interrupts generated by hardware devices,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,1,2,4,OS
Input/Output (I/O) Management,What is the purpose of DMA (Direct Memory Access)?,To allow devices to transfer data directly to/from memory without involving the CPU,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,1,2,4,OS
Input/Output (I/O) Management,What is the difference between polling and interrupt-driven I/O?,Polling involves the CPU checking a device for data while interrupt-driven I/O involves the device generating an interrupt to the CPU when it has data to transfer,Polling is faster than interrupt-driven I/O,Polling is more efficient than interrupt-driven I/O,There is no difference between polling and interrupt-driven I/O,1,2,3,OS
Input/Output (I/O) Management,What is the role of a buffer in I/O operations?,To hold data temporarily while it is being transferred between devices,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,1,1,2,OS
Input/Output (I/O) Management,What is the purpose of a file descriptor?,To identify a file that a process has opened or created,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,1,1,2,OS
Input/Output (I/O) Management,What is the difference between a blocking and a non-blocking I/O operation?,In a blocking I/O operation the calling process blocks until the operation completes while in a non-blocking I/O operation the calling process does not block and can perform other tasks while waiting for the operation to complete,Blocking I/O operations are faster than non-blocking I/O operations,Non-blocking I/O operations are more efficient than blocking I/O operations,There is no difference between blocking and non-blocking I/O operations,1,2,3,OS
Security and Protection,Which of the following is not a type of malware?,Trojan horse,Worm,Firewall,Adware,3,1,2,OS
Security and Protection,Which of the following authentication mechanisms verifies a user's identity through a combination of something the user knows something the user has and something the user is?,Single-factor authentication,Two-factor authentication,Three-factor authentication,Four-factor authentication,3,3,4,OS
Security and Protection,Which of the following is an example of symmetric encryption?,RSA,AES,DH,Diffie-Hellman,2,2,3,OS
Security and Protection,Which of the following is a common technique used to prevent unauthorized access to a system?,Encryption,Authentication,Authorization,Firewall,4,2,2,OS
Security and Protection,Which of the following is a security mechanism used to ensure the confidentiality and integrity of data transmitted over a network?,Firewall,Intrusion detection system,Virtual private network,Packet sniffer,3,2,3,OS
Security and Protection,Which of the following is a type of attack that involves intercepting and modifying data packets in transit?,Phishing,Denial-of-service,Man-in-the-middle,Spoofing,3,3,4,OS
Security and Protection,What is a security audit?,The process of reviewing and assessing the security of a computer system,The process of encrypting data,The process of backing up data,The process of compressing data,1,3,4,OS
Security and Protection,What is a vulnerability in computer security?,A weakness in a computer system that can be exploited by attackers,An encryption algorithm,An antivirus software,An operating system feature,1,3,3,OS
Security and Protection,Which of the following is a type of access control that restricts a user's access to only the resources necessary to perform their job?,Role-based access control,Discretionary access control,Mandatory access control,Non-discretionary access control,1,3,4,OS
Security and Protection,Which of the following is a technique used to detect and prevent buffer overflow attacks?,Input validation,Error handling,Memory segmentation,Stack smashing protection,4,3,4,OS
Distributed Systems and Cloud Computing,Which of the following is not a key characteristic of a distributed system?,Transparency,Concurrency,Scalability,Reliability,4,1,1,OS
Distributed Systems and Cloud Computing,Which of the following is a type of distributed system where the components work together to achieve a common goal but do not share a global state?,Loosely-coupled system,Tightly-coupled system,Clustered system,All of the above,1,2,3,OS
Distributed Systems and Cloud Computing,Which of the following is a type of distributed system where the components work together to achieve a common goal and share a global state?,Loosely-coupled system,Tightly-coupled system,Clustered system,All of the above,2,2,3,OS
Distributed Systems and Cloud Computing,Which of the following is a technique used in distributed systems to ensure consistency of data across different nodes?,Replication,Partitioning,Load balancing,All of the above,1,3,4,OS
Distributed Systems and Cloud Computing,Which of the following is a key advantage of using cloud computing?,Reduced infrastructure costs,Increased security risks,Decreased scalability,All of the above,1,2,3,OS
Distributed Systems and Cloud Computing,Which of the following is a cloud service model where the consumer uses the provider's applications over a network?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),All of the above,3,1,2,OS
Distributed Systems and Cloud Computing,Which of the following is a cloud deployment model where the cloud infrastructure is only available to a single organization?,Public cloud,Private cloud,Hybrid cloud,All of the above,2,2,3,OS
Distributed Systems and Cloud Computing,Which of the following is a cloud deployment model where the cloud infrastructure is shared by multiple organizations but with different access levels and security measures?,Public cloud,Private cloud,Hybrid cloud,Community cloud,4,3,4,OS
Distributed Systems and Cloud Computing,Which of the following is a technology used in distributed systems to handle the failure of nodes in the system?,Replication,Load balancing,Fault tolerance,All of the above,3,2,4,OS
Distributed Systems and Cloud Computing,Which of the following is a type of distributed system that provides a way to share computing resources data and applications across different organizations or sites?,Clustered system,P2P system,Grid system,All of the above,3,3,4,OS
Operating System Performance Evaluation and Optimization,Which of the following tools is used for measuring the execution time of a program in Linux?,strace,top,time,perf,4,2,2,OS
Operating System Performance Evaluation and Optimization,Which of the following is NOT a commonly used performance metric for operating systems?,Throughput,Response time,Latency,Color depth,4,1,2,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used for measuring the performance of a system or component under varying workloads?,Benchmarking,Profiling,Debugging,Unit testing,1,2,3,OS
Operating System Performance Evaluation and Optimization,Which of the following is a measure of how well the operating system manages resources?,Throughput,Response time,Latency,Utilization,4,2,4,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used to improve system performance by reducing the number of times data must be read from or written to the disk?,Caching,Virtual memory,Swapping,Multiprogramming,1,3,4,OS
Operating System Performance Evaluation and Optimization,Which of the following is NOT a common technique used for optimizing system performance?,Process scheduling,Memory management,File system organization,Spam filtering,4,1,2,OS
Operating System Performance Evaluation and Optimization,Which of the following is a measure of the maximum number of operations that can be completed in a given time period?,Throughput,Response time,Latency,Utilization,1,2,4,OS
Operating System Performance Evaluation and Optimization,Which of the following is a measure of the time it takes to complete a single operation?,Throughput,Response time,Latency,Utilization,3,2,4,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used to improve system performance by overlapping the execution of multiple tasks or processes?,Multiprogramming,Pipelining,Caching,Virtual memory,1,3,4,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used to improve system performance by reducing the amount of data that must be transferred between the CPU and memory?,Caching,Virtual memory,Swapping,Multiprogramming,2,3,4,OS
Introduction to Computer Networks,Which of the following is not a benefit of computer networks?,Data sharing,Resource sharing,Cost reduction,Centralized control,4,1,1,CN
Introduction to Computer Networks,Which of the following is not a network topology?,Bus,Star,Ring,Circle,4,1,1,CN
Introduction to Computer Networks,Which of the following device is used to connect two different networks together?,Hub,Switch,Router,Repeater,3,2,3,CN
Introduction to Computer Networks,Which protocol is used to transmit email messages?,HTTP,FTP,SMTP,TCP,3,2,2,CN
Introduction to Computer Networks,Which of the following device is used to connect multiple devices in a network and broadcast data packets to all connected devices?,Router,Switch,Hub,Repeater,3,1,1,CN
Introduction to Computer Networks,Which of the following protocol is used to transfer files over the internet?,HTTP,FTP,SMTP,TCP,2,1,2,CN
Introduction to Computer Networks,Which of the following is not a network topological model?,Peer-to-Peer,Client-Server,Bus,Star,3,1,1,CN
Introduction to Computer Networks,Which of the following is used to translate domain names into IP addresses?,DNS,SMTP,POP3,TCP,1,2,2,CN
Introduction to Computer Networks,Which of the following refers to the process of dividing a message into smaller units and adding a header and a trailer to each unit?,Multiplexing,De-multiplexing,Segmentation,Reassembly,3,3,4,CN
Introduction to Computer Networks,Which of the following protocol is used for secure communication over the internet?,HTTP,FTP,SMTP,HTTPS,4,2,2,CN
Network Topologies and Architectures,Which of the following is not a type of network topology?,Star,Mesh,Bus,Branch,4,1,1,CN
Network Topologies and Architectures,Which of the following topology is used in wireless networks?,Mesh,Star,Ring,Tree,2,2,2,CN
Network Topologies and Architectures,Which of the following topology connects all devices in a circular fashion?,Bus,Star,Ring,Mesh,3,1,1,CN
Network Topologies and Architectures,Which of the following topology uses a central hub to connect devices?,Bus,Mesh,Ring,Star,4,1,1,CN
Network Topologies and Architectures,Which of the following topology provides redundancy and fault tolerance in case of link failure?,Mesh,Star,Ring,Bus,1,2,3,CN
Network Topologies and Architectures,Which of the following is not a type of network architecture?,Client-Server,Peer-to-Peer,Hybrid,Tree,4,1,1,CN
Network Topologies and Architectures,Which of the following architecture is commonly used in businesses and organizations?,Client-Server,Peer-to-Peer,Hybrid,Mesh,1,2,2,CN
Network Topologies and Architectures,Which of the following architecture allows all devices to have equal responsibility and functionality?,Client-Server,Peer-to-Peer,Hybrid,Mesh,2,2,2,CN
Network Topologies and Architectures,Which of the following architecture combines the features of both Client-Server and Peer-to-Peer architectures?,Client-Server,Peer-to-Peer,Hybrid,Tree,3,3,4,CN
Network Topologies and Architectures,Which of the following is not a benefit of network architectures?,Centralized control,Flexibility,Scalability,Security,1,1,1,CN
Network Protocols and Standards,Which protocol is used for transferring web page data from a web server to a client's browser?,HTTP,FTP,SMTP,POP3,1,1,1,CN
Network Protocols and Standards,Which protocol is used for securely transferring files between a client and server?,SFTP,FTP,TFTP,HTTP,1,2,2,CN
Network Protocols and Standards,Which protocol is used for resolving IP addresses to MAC addresses?,ARP,DNS,ICMP,TCP,1,2,2,CN
Network Protocols and Standards,Which protocol is used for establishing a secure connection between a client and a server?,SSL,TLS,HTTPS,SSH,3,3,3,CN
Network Protocols and Standards,Which protocol is used for sending email?,SMTP,POP3,IMAP,HTTP,1,2,2,CN
Network Protocols and Standards,Which protocol is used for transferring files over the internet?,FTP,SFTP,TFTP,HTTP,1,1,1,CN
Network Protocols and Standards,Which protocol is used for managing network devices?,SNMP,SMTP,POP3,HTTP,1,3,3,CN
Network Protocols and Standards,Which protocol is used for routing packets across multiple networks?,RIP,OSPF,BGP,IS-IS,3,3,3,CN
Network Protocols and Standards,Which protocol is used for assigning IP addresses to devices on a network?,DHCP,DNS,RARP,ICMP,1,2,2,CN
Network Protocols and Standards,Which protocol is used for detecting and correcting errors in data transmissions?,TCP,UDP,IP,ICMP,4,3,4,CN
Physical layer and data transmission,What is the unit of data transmission in the physical layer of the OSI model?,Packet,Bit,Frame,Segment,2,2,2,CN
Physical layer and data transmission,Which of the following is not a characteristic of the physical layer?,Data compression,Data encoding,Data transmission rate,Data synchronization,1,3,3,CN
Physical layer and data transmission,Which of the following refers to the physical medium used for data transmission?,Frequency,Amplitude,Phase,Medium,4,1,1,CN
Physical layer and data transmission,Which of the following transmission media has the highest bandwidth?,Twisted-pair cable,Coaxial cable,Fiber-optic cable,Wi-Fi,3,2,2,CN
Physical layer and data transmission,Which of the following transmission media is the most susceptible to interference?,Twisted-pair cable,Coaxial cable,Fiber-optic cable,Wi-Fi,1,2,2,CN
Physical layer and data transmission,Which of the following is not a type of data transmission?,Simplex transmission,Duplex transmission,Half-duplex transmission,Quad-duplex transmission,4,3,4,CN
Physical layer and data transmission,Which of the following is the term used to describe the conversion of digital data into analog signals for transmission over a communication channel?,Modulation,Amplification,Filtering,Demodulation,1,2,3,CN
Physical layer and data transmission,Which of the following is the term used to describe the process of sending data from one device to another device?,Transmission,Reception,Propagation,Decompression,1,1,1,CN
Physical layer and data transmission,Which of the following is not a characteristic of baseband transmission?,Uses a single frequency,Less susceptible to noise,Low transmission distance,Less expensive,3,3,3,CN
Physical layer and data transmission,Which of the following is not a modulation technique used in data transmission?,Amplitude modulation (AM),Frequency modulation (FM),Phase modulation (PM),Data modulation (DM),4,3,4,CN
Transport layer and congestion control,Which of the following is not a function of the transport layer?,Segmentation and reassembly,Error detection and correction,Flow control,Congestion control,2,2,2,CN
Transport layer and congestion control,Which of the following protocol is used for reliable data transmission?,TCP,UDP,IP,SMTP,1,2,2,CN
Transport layer and congestion control,What is the maximum size of data that can be sent in a single TCP segment?,64 KB,128 KB,256 KB,512 KB,1,3,4,CN
Transport layer and congestion control,Which of the following is not a mechanism used by TCP for congestion control?,Slow start,Congestion avoidance,Fast retransmit,Flow control,4,3,4,CN
Transport layer and congestion control,What is the purpose of the window size in TCP?,To regulate the flow of data between the sender and receiver,To detect errors in the data being transmitted,To segment and reassemble the data into packets,To encrypt the data being transmitted,1,2,3,CN
Transport layer and congestion control,What is the function of the UDP protocol?,To provide reliable data transmission,To provide congestion control,To provide flow control,To provide fast and efficient data transmission,4,2,2,CN
Transport layer and congestion control,What is the purpose of the acknowledgement number in TCP?,To confirm the receipt of data by the receiver,To regulate the flow of data between the sender and receiver,To segment and reassemble the data into packets,To encrypt the data being transmitted,1,3,3,CN
Transport layer and congestion control,Which of the following is not a type of TCP header flag?,ACK,SYN,FIN,END,4,2,2,CN
Transport layer and congestion control,Which of the following is not a cause of network congestion?,Too much data being transmitted,Network hardware failure,Slow response times from network devices,Network topology,3,3,4,CN
Transport layer and congestion control,What is the purpose of the checksum field in the TCP header?,To detect errors in the data being transmitted,To regulate the flow of data between the sender and receiver,To segment and reassemble the data into packets,To encrypt the data being transmitted,1,2,3,CN
Network layer and routing,Which layer of the OSI model is responsible for routing and forwarding packets?,Physical layer,Data link layer,Network layer,Transport layer,3,2,2,CN
Network layer and routing,Which routing algorithm is used by the Internet Protocol (IP)?,Dijkstra's algorithm,Link-state routing algorithm,Bellman-Ford algorithm,Flooding algorithm,2,3,4,CN
Network layer and routing,What is the purpose of a routing table in a router?,To store the MAC addresses of devices in the network,To store the IP addresses of devices in the network,To store the location of devices in the network,To store the routes to destination networks,4,2,3,CN
Network layer and routing,Which type of routing protocol uses the hop count as the metric for selecting the best path to a destination network?,Link-state routing protocol,Distance-vector routing protocol,Path-vector routing protocol,Hybrid routing protocol,2,3,2,CN
Network layer and routing,Which protocol is used by routers to exchange routing information?,HTTP,FTP,SMTP,OSPF,4,2,2,CN
Network layer and routing,What is the purpose of a default route in a routing table?,To provide a backup route in case of a network failure,To provide a route to all other networks not listed in the routing table,To provide a route to the network's default gateway,To provide a route to the DNS server,2,3,3,CN
Network layer and routing,What is the purpose of the routing protocol RIP (Routing Information Protocol)?,To find the best path to a destination network based on hop count,To distribute routing information between routers in the same autonomous system,To provide secure communication between routers,To synchronize the clocks of routers in the network,2,2,2,CN
Network layer and routing,Which type of routing protocol sends updates only when there is a change in the network topology?,Periodic routing protocol,Triggered routing protocol,Static routing protocol,Dynamic routing protocol,2,3,3,CN
Network layer and routing,Which type of routing protocol uses complex metrics to select the best path to a destination network?,Link-state routing protocol,Distance-vector routing protocol,Path-vector routing protocol,Hybrid routing protocol,1,2,4,CN
Network layer and routing,What is the purpose of the Internet Control Message Protocol (ICMP)?,To send error messages and operational information about network conditions,To encapsulate data packets for transmission over the network,To route packets through the network,To establish connections between devices on the network,1,2,3,CN
Application layer and network services,Which of the following protocols is used for remote access to a network?,SMTP,RDP,SSH,FTP,2,2,2,CN
Application layer and network services,Which of the following protocols is used to retrieve email messages from a mail server?,SMTP,POP3,IMAP,FTP,2,2,2,CN
Application layer and network services,Which protocol is used to transfer files between systems on the internet?,FTP,SFTP,SCP,TELNET,1,2,2,CN
Application layer and network services,Which of the following is an example of a real-time communication protocol?,HTTP,SSH,VoIP,SMTP,3,3,3,CN
Application layer and network services,Which of the following protocols is used to access web pages on the internet?,HTTP,FTP,SMTP,TCP,1,1,1,CN
Application layer and network services,Which of the following is not an email protocol?,SMTP,POP3,IMAP,RDP,4,2,2,CN
Application layer and network services,Which protocol is used to securely transfer data over the internet?,FTP,SFTP,SCP,HTTPS,4,3,3,CN
Application layer and network services,Which of the following protocols is used for remote terminal emulation?,SSH,FTP,SMTP,TCP,1,2,2,CN
Application layer and network services,Which of the following protocols is used for directory services?,DNS,LDAP,FTP,TFTP,2,3,3,CN
Application layer and network services,Which of the following protocols is used for network printing?,TCP/IP,LPR/LPD,FTP,SNMP,2,3,3,CN
Network security and encryption,Which of the following is not a type of network attack?,Phishing attack,Denial-of-service (DoS) attack,Server crash attack,Man-in-the-middle (MITM) attack,3,2,2,CN
Network security and encryption,Which of the following protocol provides secure communication over the internet?,SSL,TCP,IP,FTP,1,3,3,CN
Network security and encryption,Which of the following encryption techniques uses a pair of keys (public and private) to encrypt and decrypt data?,Symmetric-key encryption,Hash encryption,Asymmetric-key encryption,Password-based encryption,3,3,4,CN
Network security and encryption,Which of the following is a type of malware that can replicate itself and spread to other computers without user's knowledge or permission?,Trojan horse,Worm,Virus,Rootkit,2,2,3,CN
Network security and encryption,Which of the following is not a type of authentication?,Password authentication,Biometric authentication,Certificate-based authentication,Encryption authentication,4,3,3,CN
Network security and encryption,Which of the following technique is used to hide the real IP address of a device by redirecting traffic through different servers or networks?,Firewall,VPN,Tunneling,Port scanning,2,2,2,CN
Network security and encryption,Which of the following is a standard for secure communication over the internet?,AES,SHA-256,SSL/TLS,SSH,3,3,4,CN
Network security and encryption,Which of the following is not a type of network security threat?,Phishing,DoS attack,Adware,Spamming,3,1,2,CN
Network security and encryption,Which of the following is a protocol that provides secure shell access to a remote server?,SSL,SSH,TLS,HTTPS,2,3,3,CN
Network security and encryption,Which of the following is a cryptographic protocol used to secure communication over the internet?,TCP/IP,SSL/TLS,HTTP,FTP,2,3,3,CN
Wireless and Mobile Networks,Which of the following is not a wireless network standard?,Bluetooth,Wi-Fi,ZigBee,LAN,4,1,1,CN
Wireless and Mobile Networks,Which of the following is not a component of a wireless network?,Access point,Router,Wireless client,Server,4,1,1,CN
Wireless and Mobile Networks,Which of the following network allows mobile devices to connect to the internet using cellular network?,Wi-Fi network,MANET network,WAN network,3G/4G network,3,2,2,CN
Wireless and Mobile Networks,Which of the following is not a type of wireless network architecture?,Ad-hoc network,Infrastructure network,Cellular network,LAN network,4,1,1,CN
Wireless and Mobile Networks,Which of the following is a protocol that enables wireless devices to communicate with each other by establishing a personal area network?,Bluetooth,Wi-Fi,ZigBee,GPS,1,2,2,CN
