Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
135,Candy,Hard,"Patching Array,Earliest Possible Day of Full Bloom,Gas Station,Increasing Triplet Subsequence,Maximize the Topmost Element After K Moves","Array,Greedy"
136,Single Number,Easy,"Single Number II,Single Number III,Missing Number,Find the Duplicate Number,Find the Difference","Array,Bit Manipulation"
137,Single Number II,Medium,"Single Number,Single Number III","Array,Bit Manipulation"
138,Copy List with Random Pointer,Medium,"Clone Graph,Clone Binary Tree With Random Pointer,Clone N-ary Tree","Hash Table,Linked List"
139,Word Break,Medium,Word Break II,"Hash Table,String,Dynamic Programming,Trie,Memoization"
140,Word Break II,Hard,"Word Break,Concatenated Words","Hash Table,String,Dynamic Programming,Backtracking,Trie,Memoization"
141,Linked List Cycle,Easy,"Linked List Cycle II,Happy Number","Hash Table,Linked List,Two Pointers"
142,Linked List Cycle II,Medium,"Linked List Cycle,Find the Duplicate Number","Hash Table,Linked List,Two Pointers"
143,Reorder List,Medium,Delete the Middle Node of a Linked List,"Linked List,Two Pointers,Stack,Recursion"
144,Binary Tree Preorder Traversal,Easy,"Binary Tree Inorder Traversal,Verify Preorder Sequence in Binary Search Tree,N-ary Tree Preorder Traversal","Stack,Tree,Depth-First Search,Binary Tree"
145,Binary Tree Postorder Traversal,Easy,"Binary Tree Inorder Traversal,N-ary Tree Postorder Traversal","Stack,Tree,Depth-First Search,Binary Tree"
146,LRU Cache,Medium,"LFU Cache,Design In-Memory File System,Design Compressed String Iterator,Design Most Recently Used Queue","Hash Table,Linked List,Design,Doubly-Linked List"
147,Insertion Sort List,Medium,"Sort List,Insert into a Sorted Circular Linked List","Linked List,Sorting"
148,Sort List,Medium,"Merge Two Sorted Lists,Sort Colors,Insertion Sort List,Sort Linked List Already Sorted Using Absolute Values","Linked List,Two Pointers,Divide and Conquer,Sorting,Merge Sort"
149,Max Points on a Line,Hard,"Line Reflection,Minimum Number of Lines to Cover Points","Array,Hash Table,Math,Geometry"
150,Evaluate Reverse Polish Notation,Medium,"Basic Calculator,Expression Add Operators","Array,Math,Stack"
151,Reverse Words in a String,Medium,Reverse Words in a String II,"Two Pointers,String"
152,Maximum Product Subarray,Medium,"Maximum Subarray,House Robber,Product of Array Except Self,Maximum Product of Three Numbers,Subarray Product Less Than K","Array,Dynamic Programming"
153,Find Minimum in Rotated Sorted Array,Medium,"Search in Rotated Sorted Array,Find Minimum in Rotated Sorted Array II","Array,Binary Search"
154,Find Minimum in Rotated Sorted Array II,Hard,Find Minimum in Rotated Sorted Array,"Array,Binary Search"
155,Min Stack,Easy,"Sliding Window Maximum,Max Stack","Stack,Design"
156,Binary Tree Upside Down,Medium,Reverse Linked List,"Tree,Depth-First Search,Binary Tree"
157,Read N Characters Given Read4,Easy,Read N Characters Given read4 II - Call Multiple Times,"String,Simulation,Interactive"
158,Read N Characters Given read4 II - Call Multiple Times,Hard,Read N Characters Given Read4,"String,Simulation,Interactive"
159,Longest Substring with At Most Two Distinct Characters,Medium,"Longest Substring Without Repeating Characters,Sliding Window Maximum,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers","Hash Table,String,Sliding Window"
160,Intersection of Two Linked Lists,Easy,Minimum Index Sum of Two Lists,"Hash Table,Linked List,Two Pointers"
161,One Edit Distance,Medium,Edit Distance,"Two Pointers,String"
162,Find Peak Element,Medium,"Peak Index in a Mountain Array,Find a Peak Element II,Pour Water Between Buckets to Make Water Levels Equal,Count Hills and Valleys in an Array","Array,Binary Search"
163,Missing Ranges,Easy,Summary Ranges,Array
164,Maximum Gap,Hard,"Contains Duplicate III,Sort Characters By Frequency,H-Index,Top K Frequent Words,Array Partition I","Array,Sorting,Bucket Sort,Radix Sort"
165,Compare Version Numbers,Medium,"Reverse Words in a String,One Edit Distance,Reverse Words in a String II,String Compression,Next Greater Element III","Two Pointers,String"
166,Fraction to Recurring Decimal,Medium,"Integer to Roman,Roman to Integer,Line Reflection,Number of Boomerangs,Group Shifted Strings","Hash Table,Math,String"
167,Two Sum II - Input Array Is Sorted,Medium,"Two Sum,Two Sum IV - Input is a BST,Two Sum Less Than K","Array,Two Pointers,Binary Search"
168,Excel Sheet Column Title,Easy,"Excel Sheet Column Number,Cells in a Range on an Excel Sheet","Math,String"
169,Majority Element,Easy,"Majority Element II,Check If a Number Is Majority Element in a Sorted Array","Array,Hash Table,Divide and Conquer,Sorting,Counting"
170,Two Sum III - Data structure design,Easy,"Two Sum,Unique Word Abbreviation,Two Sum IV - Input is a BST","Array,Hash Table,Two Pointers,Design,Data Stream"
171,Excel Sheet Column Number,Easy,"Excel Sheet Column Title,Cells in a Range on an Excel Sheet","Math,String"
172,Factorial Trailing Zeroes,Medium,"Number of Digit One,Preimage Size of Factorial Zeroes Function,Abbreviating the Product of a Range",Math
173,Binary Search Tree Iterator,Medium,"Binary Tree Inorder Traversal,Flatten 2D Vector,Zigzag Iterator,Peeking Iterator,Inorder Successor in BST,Binary Search Tree Iterator II","Stack,Tree,Design,Binary Search Tree,Binary Tree,Iterator"
174,Dungeon Game,Hard,"Unique Paths,Minimum Path Sum,Cherry Pickup,Minimum Health to Beat Game","Array,Dynamic Programming,Matrix"
175,Combine Two Tables,Easy,Employee Bonus,Database
176,Second Highest Salary,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
177,Nth Highest Salary,Medium,The Number of Users That Are Eligible for Discount,Database
178,Rank Scores,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
179,Largest Number,Medium,Smallest Value of the Rearranged Number,"String,Greedy,Sorting"
180,Consecutive Numbers,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
181,Employees Earning More Than Their Managers,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
182,Duplicate Emails,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
183,Customers Who Never Order,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
184,Department Highest Salary,Medium,Highest Grade For Each Student,Database
185,Department Top Three Salaries,Hard,"Trips and Users,Median Employee Salary,Find Median Given Frequency of Numbers,Average Salary: Departments VS Company,Game Play Analysis V",Database
186,Reverse Words in a String II,Medium,"Reverse Words in a String,Rotate Array","Two Pointers,String"
187,Repeated DNA Sequences,Medium,"Find Substring With Given Hash Value,Strings Differ by One Character,Maximum Length of Repeated Subarray,Unique Substrings With Equal Digit Frequency,Distinct Echo Substrings","Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function"
188,Best Time to Buy and Sell Stock IV,Hard,"Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock III","Array,Dynamic Programming"
189,Rotate Array,Medium,"Rotate List,Reverse Words in a String II","Array,Math,Two Pointers"
190,Reverse Bits,Easy,"Reverse Integer,Number of 1 Bits,A Number After a Double Reversal","Divide and Conquer,Bit Manipulation"
191,Number of 1 Bits,Easy,"Reverse Bits,Power of Two,Counting Bits,Binary Watch,Hamming Distance,Binary Number with Alternating Bits,Prime Number of Set Bits in Binary Representation",Bit Manipulation
192,Word Frequency,Medium,Top K Frequent Elements,Shell
193,Valid Phone Numbers,Easy,"Word Frequency,Missing Ranges,Summary Ranges,Max Consecutive Ones,Longest Continuous Increasing Subsequence",Shell
194,Transpose File,Medium,"Word Frequency,Insert Interval,Non-decreasing Array,Maximize Distance to Closest Person,Partition Array into Disjoint Intervals",Shell
195,Tenth Line,Easy,"Word Frequency,Missing Ranges,Summary Ranges,Max Consecutive Ones,Longest Continuous Increasing Subsequence",Shell
196,Delete Duplicate Emails,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
197,Rising Temperature,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
198,House Robber,Medium,"Maximum Product Subarray,House Robber II,Paint House,Paint Fence,House Robber III,Non-negative Integers without Consecutive Ones,Coin Path,Delete and Earn,Solving Questions With Brainpower","Array,Dynamic Programming"
199,Binary Tree Right Side View,Medium,"Populating Next Right Pointers in Each Node,Boundary of Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
200,Number of Islands,Medium,"Surrounded Regions,Walls and Gates,Number of Islands II,Number of Connected Components in an Undirected Graph,Number of Distinct Islands,Max Area of Island,Count Sub Islands,Find All Groups of Farmland","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
201,Bitwise AND of Numbers Range,Medium,"Minimum Flips to Make a OR b Equal to c,Single Number II,Single Number III,IP to CIDR,Number of Steps to Reduce a Number in Binary Representation to One",Bit Manipulation
202,Happy Number,Easy,"Linked List Cycle,Add Digits,Ugly Number,Sum of Digits of String After Convert","Hash Table,Math,Two Pointers"
203,Remove Linked List Elements,Easy,"Remove Element,Delete Node in a Linked List,Delete the Middle Node of a Linked List","Linked List,Recursion"
204,Count Primes,Medium,"Ugly Number,Ugly Number II,Perfect Squares","Array,Math,Enumeration,Number Theory"
